Dataset,Method,DiversityWeight,Epochs,LatentDim,Heads,Temperature,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
basehock,ICL,0.3,100,512,1,0.05,150,0.5289764174611138,0.013791336110045429,0.009892489925132955,0.00476507299072792
basehock,ICL,1.0,100,512,1,0.05,100,0.5265178123432012,0.028653428244610514,0.023745121067829392,0.01756172157826972
basehock,ICL,0.95,100,512,1,0.05,250,0.5256397390868038,0.024969313745803072,0.017982703277827326,0.0133688969513042
basehock,ICL,0.3,100,512,1,0.05,200,0.525213246362268,0.016760364031614114,0.010999898246520768,0.006574957480565077
basehock,ICL,1.0,100,512,1,0.09,200,0.5249623682890115,0.037165831719720724,0.027438818375107293,0.03203733757129173
basehock,ICL,0.35,100,512,1,0.03,100,0.5242097340692423,0.04237385615432665,0.026614748232892515,0.04067294436015419
basehock,ICL,0.25,100,512,1,0.05,200,0.5241344706472655,0.021936787906802736,0.012541164930102159,0.007902774245738951
basehock,ICL,0.35,100,512,1,0.03,150,0.5238334169593577,0.03203271914788259,0.0297714992586267,0.03750424419448921
basehock,ICL,0.3,100,512,1,0.03,300,0.5234069242348219,0.03207955664016679,0.016205128281819227,0.01753548337870584
basehock,ICL,0.25,100,512,1,0.05,250,0.5230556949322629,0.021927647778395534,0.01203063783501668,0.008383908732246943
basehock,ICL,0.6,100,512,1,0.08,150,0.5224535875564476,0.01727154785490154,0.013834292571857153,0.009164854571444645
basehock,ICL,1.0,100,512,1,0.05,250,0.521926743602609,0.02151393211436562,0.018103159781993568,0.015561222300541175
basehock,ICL,0.95,100,512,1,0.05,150,0.5216006021073758,0.0254704759256505,0.018234132087767564,0.01689793556568411
basehock,ICL,0.3,100,512,1,0.05,300,0.5215504264927245,0.014260360762950028,0.009695490488543132,0.006240383338379207
basehock,ICL,0.25,100,512,1,0.03,100,0.5213748118414451,0.03142167495389226,0.020247513164784542,0.021117279765773614
basehock,ICL,0.35,100,512,1,0.03,250,0.5210486703462117,0.036888624259498515,0.02203317870586253,0.031155689713737746
basehock,ICL,0.25,100,512,1,0.05,50,0.5209984947315605,0.018175263678996162,0.01398632270117369,0.0069115254904572355
basehock,ICL,0.6,100,512,1,0.08,100,0.519844455594581,0.027455954667727215,0.014409295969843966,0.012711267124179387
basehock,ICL,0.3,100,512,1,0.05,100,0.5197942799799298,0.011203300183396454,0.009014885962029361,0.007157936897377325
basehock,ICL,1.0,100,512,1,0.05,300,0.5191670847967886,0.01742336930118904,0.016999382221841282,0.011544157999766434
basehock,ICL,0.45,100,512,1,0.03,250,0.518941294530858,0.0226851911211742,0.013900648800833882,0.014774332837025764
basehock,ICL,0.3,100,512,1,0.03,200,0.5178123432012043,0.032121408042267645,0.01806498863795362,0.024139495204763238
basehock,ICL,1.0,100,512,1,0.09,250,0.5176618163572504,0.020554310555226503,0.014495468559055202,0.010335321013992772
basehock,ICL,0.3,100,512,1,0.05,250,0.5172102358253887,0.013578600446857136,0.007210839520720193,0.0032586764036657023
