Dataset,Method,DiversityWeight,Epochs,LatentDim,Heads,Temperature,NumSelected,AccuracyMean,AccuracyStd,NMIMean,NMIStd
coil20,ICL,0.2,100,512,1,0.08,300,0.6403819444444446,0.03044905286871583,0.7620826864358989,0.012356633391591982
coil20,ICL,0.75,100,512,1,0.11,300,0.6403472222222223,0.038777058951471884,0.7628119884915818,0.014250094760604643
coil20,ICL,0.1,100,512,1,0.05,200,0.6403472222222222,0.03382586067358289,0.7617299261065629,0.014456003556354721
coil20,ICL,0.1,100,512,1,0.05,200,0.6403472222222222,0.03382586067358289,0.7617299261065629,0.014456003556354721
coil20,ICL,0.1,100,512,1,0.07,250,0.6402430555555555,0.03323878010247395,0.765114922961731,0.01795127052474956
coil20,ICL,0.1,100,512,1,0.07,250,0.6402430555555555,0.03323878010247395,0.765114922961731,0.01795127052474956
coil20,ICL,0.95,100,512,1,0.04,200,0.6401736111111112,0.03387527831761209,0.7375978838351059,0.015849740422607804
coil20,ICL,0.5,100,512,1,0.04,200,0.6401041666666667,0.03840966823355454,0.7520311848687774,0.013178566536937705
coil20,ICL,0.5,100,512,1,0.04,200,0.6401041666666667,0.03840966823355454,0.7520311848687774,0.013178566536937705
coil20,ICL,0.75,100,512,1,0.02,100,0.6400347222222222,0.02141466137571219,0.7306223367736983,0.012268770344158644
coil20,ICL,0.75,100,512,1,0.11,250,0.6397569444444444,0.039336385509129324,0.7619654081787868,0.01796526968895114
coil20,ICL,0.8,100,512,1,0.04,200,0.6397222222222222,0.021255672808528317,0.7483915259991608,0.011064609234105504
coil20,ICL,0.85,100,512,1,0.06,300,0.6395833333333333,0.02955674992365336,0.7568377966629469,0.017452828502275353
coil20,ICL,0.95,100,512,1,0.06,200,0.6395138888888889,0.03215127786278294,0.7538708601929659,0.0154540239445801
coil20,ICL,0.2,100,512,1,0.07,300,0.6394791666666666,0.03700566343355308,0.7584148870795036,0.01983759692350538
coil20,ICL,0.95,100,512,1,0.07,300,0.6394444444444444,0.02202888991167599,0.7534167597230177,0.010221085167040398
coil20,ICL,0.1,100,512,1,0.07,100,0.639375,0.037625240965554606,0.7714382355384042,0.01501946986249541
coil20,ICL,0.1,100,512,1,0.07,100,0.639375,0.037625240965554606,0.7714382355384042,0.01501946986249541
coil20,ICL,0.4,100,512,1,0.08,200,0.6392708333333333,0.03708000076057605,0.7566330643867888,0.017433582069711608
